city_name,timestamp,humidity,latitude,longitude,temp,temperature_2m,weather_description
Taza,2024-12-02 21:37:41.642,47.0,34.25,-3.75,16.67,11.8,[scattered clouds]
Taza,2024-12-03 12:37:35.556,47.0,34.25,-3.75,16.67,11.8,[scattered clouds]
Nador,2024-12-02 21:37:41.556,88.0,35.174,-2.9287,15.14,16.3,[clear sky]
Nador,2024-12-03 12:37:35.480,88.0,35.174,-2.9287,15.14,16.3,[clear sky]
Tangier,2024-12-02 21:37:41.466,88.0,35.7806,-5.8137,16.64,17.1,[overcast clouds]
Tangier,2024-12-03 12:37:35.374,88.0,35.7806,-5.8137,16.64,17.1,[overcast clouds]
Fes,2024-12-02 21:37:41.422,50.0,34.0372,-4.9998,14.14,15.4,[clear sky]
Fes,2024-12-03 12:37:35.331,50.0,34.0372,-4.9998,14.14,15.4,[clear sky]
Taourirt,2024-12-02 21:37:41.754,51.0,34.4073,-2.8973,17.25,13.9,[broken clouds]
Taourirt,2024-12-03 12:37:35.631,51.0,34.4073,-2.8973,17.25,13.9,[broken clouds]
Khemisset,2024-12-02 21:37:41.571,59.0,33.6667,-6.25,17.17,14.7,[overcast clouds]
Khemisset,2024-12-03 12:37:35.491,59.0,33.6667,-6.25,17.17,14.7,[overcast clouds]
Marrakesh,2024-12-02 21:37:41.438,37.0,31.6315,-8.0083,19.04,17.5,[clear sky]
Marrakesh,2024-12-03 12:37:35.347,37.0,31.6315,-8.0083,19.04,17.5,[clear sky]
Oujda,2024-12-02 21:37:41.499,76.0,34.6805,-1.9076,11.35,12.6,[clear sky]
Oujda,2024-12-03 12:37:35.402,76.0,34.6805,-1.9076,11.35,12.6,[clear sky]
Rabat,2024-12-02 21:37:41.410,100.0,33.9911,-6.8401,14.04,15.2,[overcast clouds]
Rabat,2024-12-03 12:37:35.318,100.0,33.9911,-6.8401,14.04,15.2,[overcast clouds]
Guelmim,2024-12-02 21:37:41.616,19.0,28.987,-10.0574,19.19,19.8,[clear sky]
Guelmim,2024-12-03 12:37:35.543,19.0,28.987,-10.0574,19.19,19.8,[clear sky]
Midelt,2024-12-02 21:37:41.840,45.0,32.6852,-4.7451,11.82,9.9,[overcast clouds]
Midelt,2024-12-03 12:37:35.717,45.0,32.6852,-4.7451,11.82,9.9,[overcast clouds]
Berkane,2024-12-02 21:37:41.727,76.0,34.9084,-2.3461,16.6,13.9,[overcast clouds]
Berkane,2024-12-03 12:37:35.618,76.0,34.9084,-2.3461,16.6,13.9,[overcast clouds]
Ifrane,2024-12-02 21:37:41.860,57.0,33.3333,-5.25,9.03,6.8,[overcast clouds]
Ifrane,2024-12-03 12:37:35.728,57.0,33.3333,-5.25,9.03,6.8,[overcast clouds]
Al Hoceima,2024-12-02 21:37:41.711,82.0,35.2433,-3.9309,16.57,15.0,[scattered clouds]
Al Hoceima,2024-12-03 12:37:35.605,82.0,35.2433,-3.9309,16.57,15.0,[scattered clouds]
Mohammedia,2024-12-02 21:37:41.677,100.0,33.7066,-7.3944,15.11,15.9,[overcast clouds]
Mohammedia,2024-12-03 12:37:35.582,100.0,33.7066,-7.3944,15.11,15.9,[overcast clouds]
Ksar el-Kebir,2024-12-02 21:37:41.694,59.0,34.9992,-5.8987,17.38,15.8,[overcast clouds]
Ksar el-Kebir,2024-12-03 12:37:35.594,59.0,34.9992,-5.8987,17.38,15.8,[overcast clouds]
Sidi Slimane,2024-12-02 21:37:41.796,62.0,34.2648,-5.926,16.87,14.6,[overcast clouds]
Sidi Slimane,2024-12-03 12:37:35.676,62.0,34.2648,-5.926,16.87,14.6,[overcast clouds]
El Jadida,2024-12-02 21:37:41.540,93.0,33.2549,-8.506,18.32,18.2,[broken clouds]
El Jadida,2024-12-03 12:37:35.463,93.0,33.2549,-8.506,18.32,18.2,[broken clouds]
Settat,2024-12-02 21:37:41.585,51.0,33.0007,-7.6204,16.37,15.7,[overcast clouds]
